plate	well	depth	expt	round	sample	phage_library	notes	ID
1	H5	1.0	027i	R2i	1+.H5	alpaca		01-H5
1	H7	1.0	027i	R2i	1+.H7	alpaca		01-H7
1	H8	1.0	027i	R2i	1+.H8	alpaca		01-H8
1	H9	1.0	027i	R2i	1+.H9	alpaca		01-H9
1	H10	1.0	027i	R2i	1+.H10	alpaca		01-H10
1	H11	1.0	027i	R2i	1+.H11	alpaca		01-H11
1	H12	1.0	027i	R2i	1+.H12	alpaca		01-H12
2	A2	1.0	027i	R3i	1+.A2	alpaca		02-A2
2	A4	1.0	027i	R3i	1+.A4	alpaca		02-A4
2	A5	1.0	027i	R3i	1+.A5	alpaca		02-A5
2	A6	1.0	027i	R3i	1+.A6	alpaca		02-A6
2	A7	1.0	027i	R3i	1+.A7	alpaca		02-A7
2	A9	1.0	027i	R3i	1+.A9	alpaca		02-A9
2	A10	1.0	027i	R3i	1+.A10	alpaca		02-A10
2	A11	1.0	027i	R3i	1+.A11	alpaca		02-A11
2	B1	1.0	027i	R3i	1+.B1	alpaca		02-B1
2	B2	1.0	027i	R3i	1+.B2	alpaca		02-B2
2	B3	1.0	027i	R3i	1+.B3	alpaca		02-B3
2	B4	1.0	027i	R3i	1+.B4	alpaca		02-B4
2	B5	1.0	027i	R3i	1+.B5	alpaca		02-B5
2	B6	1.0	027i	R3i	1+.B6	alpaca		02-B6
2	B7	1.0	027i	R3i	1+.B7	alpaca		02-B7
2	B8	1.0	027i	R3i	1+.B8	alpaca		02-B8
2	B9	1.0	027i	R3i	1+.B9	alpaca		02-B9
2	B10	1.0	027i	R3i	1+.B10	alpaca		02-B10
2	B11	1.0	027i	R3i	1+.B11	alpaca		02-B11
2	C1	1.0	027i	R3i	1+.C1	alpaca		02-C1
2	C2	1.0	027i	R3i	1+.C2	alpaca		02-C2
2	C3	1.0	027i	R3i	1+.C3	alpaca		02-C3
2	C4	1.0	027i	R3i	1+.C4	alpaca		02-C4
2	C5	1.0	027i	R3i	1+.C5	alpaca		02-C5
