,Round,In_Out,Plate,Sample,Vol,C_Dilution,C_Count,C_pfu/mL,C_pfu/well,C_log(pfu/mL),C_log(pfu/well),C_log(change),C_log(enrichment),K_Dilution,K_Count,K_pfu/mL,K_pfu/well,K_log(pfu/mL),K_log(pfu/well),K_log(enrichment),log(carb-kan/ml),log(carb-kan/well),kind,fraction,r,plate_n,sample_full
80,R1,out,2+,E9,0.2,-6.0,77.0,77000000000.0,15400000000.0,10.886490725172482,10.187520720836464,2.8124792791635365,,,,,,,,,,,+,+,1,2,2.E9
81,R1,out,2+,E10,0.2,-5.0,66.0,6600000000.0,1320000000.0,9.81954393554187,9.12057393120585,3.8794260687941495,,,,,,,,,,,+,+,1,2,2.E10
82,R1,out,2+,E11,0.2,-5.0,73.0,7300000000.0,1460000000.0,9.863322860120457,9.164352855784436,3.8356471442155637,,,,,,,,,,,+,+,1,2,2.E11
83,R1,out,2+,E12,0.2,-5.0,74.0,7400000000.0,1480000000.0,9.869231719730976,9.170261715394957,3.8297382846050425,,,,,,,,,,,+,+,1,2,2.E12
84,R1,in,2+,input,0.2,-8.0,500.0,50000000000000.0,10000000000000.0,13.649955840875851,13.0,,,-6.0,50.0,50000000000.0,10000000000.0,10.698970004336019,10.0,,3.0,3.0,+,i,1,2,2.input
85,R1,out,2+,G2,0.2,-5.0,36.0,3600000000.0,720000000.0,9.556302500767288,8.857332496431269,4.142667503568731,,-3.0,34.0,34000000.0,6800000.0,7.531478917042255,6.832508912706237,,2.0248235837250323,2.0248235837250323,+,+,1,2,2.G2
86,R1,out,2+,G3,0.2,-5.0,35.0,3500000000.0,700000000.0,9.544068044350276,8.845098040014257,4.154901959985743,,-3.0,33.0,33000000.0,6600000.0,7.518513939877887,6.819543935541868,,2.0255541044723886,2.0255541044723886,+,+,1,2,2.G3
87,R1,out,2+,G4,0.2,-5.0,38.0,3800000000.0,760000000.0,9.57978359661681,8.880813592280791,4.119186407719209,,-3.0,28.0,28000000.0,5600000.0,7.447158031342219,6.748188027006201,,2.1326255652745907,2.1326255652745907,+,+,1,2,2.G4
88,R1,out,2+,G5,0.2,-5.0,46.0,4600000000.0,920000000.0,9.662757831681574,8.963787827345556,4.036212172654444,,-3.0,45.0,45000000.0,9000000.0,7.653212513775344,6.954242509439325,,2.0095453179062304,2.0095453179062304,+,+,1,2,2.G5
89,R1,out,2+,G6,0.2,-5.0,44.0,4400000000.0,880000000.0,9.643452676486188,8.94448267215017,4.055517327849831,,-3.0,42.0,42000000.0,8400000.0,7.623249290397901,6.924279286061882,,2.020203386088287,2.020203386088287,+,+,1,2,2.G6
90,R1,out,2+,G7,0.2,-5.0,53.0,5300000000.0,1060000000.0,9.724275869600788,9.02530586526477,3.9746941347352305,,-3.0,47.0,47000000.0,9400000.0,7.672097857935717,6.973127853599698,,2.052178011665071,2.052178011665071,+,+,1,2,2.G7
91,R1,out,2+,G8,0.2,-5.0,37.0,3700000000.0,740000000.0,9.568201724066995,8.869231719730976,4.130768280269024,,-3.0,35.0,35000000.0,7000000.0,7.544068044350276,6.845098040014257,,2.0241336797167193,2.0241336797167193,+,+,1,2,2.G8
92,R1,out,2+,G9,0.2,-6.0,36.0,36000000000.0,7200000000.0,10.556302500767288,9.857332496431269,3.142667503568731,,-4.0,30.0,300000000.0,60000000.0,8.477121254719663,7.778151250383644,,2.079181246047625,2.079181246047625,+,+,1,2,2.G9
93,R1,out,2+,G10,0.2,-5.0,50.0,5000000000.0,1000000000.0,9.698970004336019,9.0,4.0,,-3.0,60.0,60000000.0,12000000.0,7.778151250383644,7.079181246047625,,1.920818753952375,1.920818753952375,+,+,1,2,2.G10
94,R1,out,2+,G11,0.2,-5.0,67.0,6700000000.0,1340000000.0,9.826074802700827,9.127104798364808,3.872895201635192,,-3.0,68.0,68000000.0,13600000.0,7.832508912706237,7.133538908370218,,1.9935658899945903,1.9935658899945903,+,+,1,2,2.G11
95,R1,out,2+,G12,0.2,-5.0,78.0,7800000000.0,1560000000.0,9.89209460269048,9.193124598354462,3.806875401645538,,-3.0,61.0,61000000.0,12200000.0,7.785329835010767,7.086359830674748,,2.1067647676797137,2.1067647676797137,+,+,1,2,2.G12
96,R1,in,2+,input,0.2,-8.0,500.0,50000000000000.0,10000000000000.0,13.5681843887753,13.0,,,-5.0,47.0,4700000000.0,940000000.0,9.672097857935718,8.9731278535997,,4.026872146400301,4.026872146400301,+,i,1,2,2.input
108,R1,in,1+,input,0.2,-8.0,500.0,50000000000000.0,10000000000000.0,13.81596525724231,13.0,,,-7.0,18.0,180000000000.0,36000000000.0,11.255272505103306,10.556302500767288,,2.4436974992327123,2.4436974992327123,+,i,1,1,1.input
156,R2,in,1+,A1,0.2,-8.0,55.0,5500000000000.0,1100000000000.0,12.740362689494244,12.041392685158225,,,,,,,,,,,,+,i,2,1,1.A1
157,R2,in,1+,A2,0.2,-8.0,71.0,7100000000000.0,1420000000000.0,12.851258348719075,12.152288344383056,,,,,,,,,,,,+,i,2,1,1.A2
158,R2,in,1+,A3,0.2,-8.0,22.0,2200000000000.0,440000000000.0,12.342422680822207,11.643452676486188,,,,,,,,,,,,+,i,2,1,1.A3
159,R2,in,1+,A4,0.2,-8.0,41.0,4100000000000.0,820000000000.0,12.612783856719735,11.913813852383717,,,,,,,,,,,,+,i,2,1,1.A4
160,R2,in,1+,A5,0.2,-8.0,63.0,6300000000000.0,1260000000000.0,12.799340549453582,12.100370545117563,,,,,,,,,,,,+,i,2,1,1.A5
