,Date,Phase,Well,Volume,C_Dilution,C_Count,C_pfu/mL,C_pfu/well,C_log(pfu/mL),C_log(pfu/well),C_log(enrichment),K_Dilution,K_Count,K_pfu/mL,K_pfu/well,K_log(pfu/mL),K_log(pfu/well),K_log(enrichment),log(carb-kan/ml),log(carb-kan/well),log(enrichment),io,kind,fraction,r,selection,selection_name,library
131,2020-11-06,R4o,4?,1.8,-3,33.554161,36909577.1,66437238.78,7.567139069194883,7.822411574298189,,,,,,,,,,,,o,?,?,4,4,PAK pilin,alpaca
132,2020-11-06,R4o,5?,1.8,-4,28.239223,310631453.0,559136615.4,8.49224542812387,8.747517933227176,,,,,,,,,,,,o,?,?,4,5,PAO1 Pel/Psl,alpaca
133,2020-11-06,R4o,6?,1.8,-3,77.527908,85280698.8,153505257.84,7.930850750356753,8.186123255460059,,,,,,,,,,,,o,?,?,4,6,PAO1 efflux pumps,alpaca
0,2020-10-28,input,1+,0.2,-8,24.0,2640000000000.0,528000000000.0,12.421603926869832,11.722633922533813,,-6.0,90.0,99000000000.0,19800000000.0,10.99563519459755,10.296665190261532,,1.4259687322722812,1.4259687322722812,,i,+,i,1,1,PAK flagellin,alpaca
0,2020-10-28,input,1+,0.2,-8,24.0,2640000000000.0,528000000000.0,12.421603926869832,11.722633922533813,,-6.0,90.0,99000000000.0,19800000000.0,10.99563519459755,10.296665190261532,,1.4259687322722812,1.4259687322722812,,i,+,i,1,1,PAK flagellin,alpaca
0,2020-10-28,input,3+,0.2,-8,24.0,2640000000000.0,528000000000.0,12.421603926869832,11.722633922533813,,-6.0,90.0,99000000000.0,19800000000.0,10.99563519459755,10.296665190261532,,1.4259687322722812,1.4259687322722812,,i,+,i,1,3,PA103 pilin,alpaca
0,2020-10-28,input,4+,0.2,-8,24.0,2640000000000.0,528000000000.0,12.421603926869832,11.722633922533813,,-6.0,90.0,99000000000.0,19800000000.0,10.99563519459755,10.296665190261532,,1.4259687322722812,1.4259687322722812,,i,+,i,1,4,PAK pilin,alpaca
0,2020-10-28,input,5+,0.2,-8,24.0,2640000000000.0,528000000000.0,12.421603926869832,11.722633922533813,,-6.0,90.0,99000000000.0,19800000000.0,10.99563519459755,10.296665190261532,,1.4259687322722812,1.4259687322722812,,i,+,i,1,5,PAO1 Pel/Psl,alpaca
0,2020-10-28,input,6+,0.2,-8,24.0,2640000000000.0,528000000000.0,12.421603926869832,11.722633922533813,,-6.0,90.0,99000000000.0,19800000000.0,10.99563519459755,10.296665190261532,,1.4259687322722812,1.4259687322722812,,i,+,i,1,6,PAO1 efflux pumps,alpaca
0,2020-10-28,input,7+,0.2,-8,24.0,2640000000000.0,528000000000.0,12.421603926869832,11.722633922533813,,-6.0,90.0,99000000000.0,19800000000.0,10.99563519459755,10.296665190261532,,1.4259687322722812,1.4259687322722812,,i,+,i,1,7,Pa mix liquid,alpaca
0,2020-10-28,input,8+,0.2,-8,24.0,2640000000000.0,528000000000.0,12.421603926869832,11.722633922533813,,-6.0,90.0,99000000000.0,19800000000.0,10.99563519459755,10.296665190261532,,1.4259687322722812,1.4259687322722812,,i,+,i,1,8,Pa mix scrape,alpaca
